fecha;hora;numero incidencia;localizacion;ubicacion;carretera;eje;tipo via;tipo accidente;tipo colision;vehiculos implicados;motocicletas implicadas;pesados implicados;estado del firme;circulacion;heridos leves;heridos graves;victimas mortales;descripcion
05/01/2021 0:00;12:45:24;20210105-0023;10XL00;SUPERFICIE;M30;XL;VIA DE SERVICIO;Colision entre vehiculos;Otro;2;0;0;Seco y limpio;FLUIDA;0;0;0;Accidente leve en carril derecho, no me da tiempo a llegar porque en 2 o 3 minutos los coches se retiran del punto no puedo tomar datos
05/01/2021 0:00;12:50:00;20210105-0024;31XC30;SUPERFICIE;M30;XC;TRONCO;Salida de via;Otro;1;1;0;Seco y limpio;FLUIDA;1;0;0;Señalización de accidente de moto por salida de via, 1 herido leve trasladado al hospital Ramon y Cajal, Samur y policía municipal se encuentran en el pk, retirado por grúa seguro usuario.
05/01/2021 0:00;15:43:10;20210105-0032;08XC70;SUPERFICIE;M30;XC;TRONCO;Salida de via;COLISIÓN MEDIANA;1;0;0;Seco y limpio;FLUIDA;0;0;0;AVISO DE C.CONTROL SALIDA DE VIA CON DAÑOS EN LA MEDIANA, EL VEHICULO ESTA SUBIDO EN LA MEDIANA. SEÑALIZAMOS CORTANDO 2 CARRILES IZQUIERDOS HASTA RETIRADA DE ESTE POR GRUA PROPIA, SAMUR SE PRESENTA EN EL PUNTO PERO LOS OCUTANTES NO NECESITAN ASISTENCIA
05/01/2021 0:00;17:51:59;20210105-0037;05NC70;TÚNEL;M30;NC;TRONCO;Colision entre vehiculos;COLISIÓN POR ALCANCE;4;0;1;Seco y limpio;CONGESTIONADA;0;0;0;AVISO DE C.CONTROL ACCIDENTE EN CARRIL CENTRAL, A MI LLEGADA BOMBEROS LOS HA PASADO AL ARCEN DERECHO Y SEÑALIZAMOS HASTA RETIRADA DEL 1 Y 3 POR SUS MEDIOS Y EL 2 Y 4 POR GRUA PROPIA, SAMUR ESTA EN EL PUNTO PERO NO ATIENDE A NINGUN USUARIO
07/01/2021 0:00;12:53:22;20210107-0019;08RM18;SUPERFICIE;A3;08RM;RAMAL;Salida de via;COLISIÓN MEDIANA;1;0;1;Mojado;CONGESTIONADA;0;0;0;SALIDA DE VIA EN RAMAL CON DAÑOS AL PATRIMONIO, SIN HERIDOS. CORTE DEL CARRIL DERECHO. EL VEHICULO SE RETIRA POR SUS MEDIOS Y SE SEÑALIZAN LOS DAÑOS EN BARRERA Y EN MALLA. ( SE INFORMA A C.CONTROL PARA QUE ACTIVEN A UN EQUIPO DE CONSERVACION Y SEÑALICEN MEJOR LOS DAÑOS HASTA QUE SE REPAREN).
07/01/2021 0:00;14:14:41;20210107-0023;23NC30;SUPERFICIE;M30;NC;TRONCO;Otros;Otro;0;0;0;Mojado;FLUIDA;0;0;0;AVISO DE C.CONTROL SALIDA DE VIA CON DAÑOS AL PATRIMONIO CORTANDO 2 CARRILES DERECHOS HASTA RETIRADA DE ESTE POR GRUA PROPIA, OLLERO ACTUA MOVIENDO EL VEHICULO DEL CARRIL CENTRAL AL DERECHO, EL USUARIO NO QUIERE SER ATENDIDO POR SAMUR Y NO ME FACILITAN LA ASEGURADORA POR SER UN COCHE DE GUARDIA CIVIL
07/01/2021 0:00;14:49:00;20210107-0024;25XC50;SUPERFICIE;M30;XC;TRONCO;Salida de via;Otro;2;1;0;Mojado;CONGESTIONADA;1;0;0;AVISO: ACCIDENTE. SALIDA DE VIA MARGEN DERECHO CON COLISION CON BARRERA Y SEÑAL, COMO CONSECUENCIA DEL ACCIDENTE SE PRODUCE UNA CAIDA DE MOTORISTA EN EL MISMO PUNTO. CORTE DE CARRILES DERECHO HASTA LA RETIRADA DE LOS VEHICULOS POR PARTE DE SUS GRUAS. EL CONDUCTOR DE LA MOTO ES TRASLADADO POR SAMUR SIN PRONOSTICO. CAMION QUITANIEVES ECHA UN PREVENTIVO DE SAL A LA ZONA POR SEGURIDAD.
07/01/2021 0:00;16:18:32;20210107-0027;23NC00;SUPERFICIE;M30;NC;TRONCO;Salida de via;COLISIÓN MEDIANA;0;0;0;Mojado;FLUIDA;0;0;0;SALIDA DE VIA CHOCANDO CON MEDIANA. JUNTO A POLICIA LO PASAMOS AL ARCEN DERECHO HASTA RETIRADA DE ESTE POR GRUA PROPIA, EL USUARIO NO QUIERE SER ATENDIDO POR SAMUR
07/01/2021 0:00;17:14:49;20210107-0032;12OT20;SUPERFICIE;M-607;OT;TRONCO;Salida de via;COLISIÓN MEDIANA;1;0;0;Mojado;FLUIDA;0;0;0;SALIDA DE VIA MARGEN IZQUIERDO CON COLISION CON BARRERA. EL VEHICULO QUEDA EN ARCEN DERECHO. RETIRA GRUA DE OLLERO. SIN HERIDOS
07/01/2021 0:00;18:49:47;20210107-0033;31NC50;SUPERFICIE;M30;NC;TRONCO;Salida de via;COLISIÓN MEDIANA;1;0;0;Mojado;DENSA;0;0;0;AVISO: ACCIDENTE. SALIDA DE VIA MARGEN DERECHO CON COLISION CONTRA BARRERA. RETIRA GRUA DE MOVILIDAD. CORTE DE CARRIL DERECHO. SIN HERIDOS
08/01/2021 0:00;13:26:04;20210108-0019;14XL89;TÚNEL;M30;XL;VIA DE SERVICIO;Colision entre vehiculos;COLISIÓN POR ALCANCE;2;0;0;Mojado;FLUIDA;0;0;0;COLISION POR ALCANCE ENTRE DOS VEHICULOS SIN DAÑOS PERSONALES NI MATERIALES, A NUESTRA LLEGADA AMBOS VEHICULOS SE RETIRAN POR SUS MEDIOS
08/01/2021 0:00;16:33:05;20210108-0029;02RE00;SUPERFICIE;M30;02RE;RAMAL;Salida de via;Otro;0;1;0;Mojado;DENSA;0;0;0;AL LLEGAR AL PUNTO POLICIA HABÍA RETIRADO AL MOTORISTA A UNA GASOLINERA FUERA DE ZONA. NOS RETIRAMOS SIN DATOS
08/01/2021 0:00;18:27:25;20210108-0035;05RH00;SUPERFICIE;M30;05RH;RAMAL;Colision entre vehiculos;COLISIÓN POR ALCANCE;3;0;0;Otros;CONGESTIONADA;0;0;0;CORTE TOTAL DE RAMAL POR FACTORES ATMOSFERICOS, COLISION LEVE PERO LOS VEHICULOS QUEDAN ATRAPADOS POR EL TEMPORAL HASTA LA LLEGADA DE QUITANIEVES, LOS VEHICULOS SE RETIRAN POR SUS MEDIOS
08/01/2021 0:00;20:58:30;20210108-0050;04TL25;TÚNEL;A3;TL;TRONCO;Colision entre vehiculos;COLISIÓN POR ALCANCE;4;0;0;Otros;FLUIDA;0;0;0;GOLPE POR ALCANCE ENTRE 4 VEHICULOS- AL LLEGAR ANDANDO POR CAUSA DE LA NIEVE, DOS VEHICULOS HABIAN REANUDADO LA MARCHA Y NO TENEMOS DATOS , LOS OTROS DOS SALEN POR SUS MEDIOS, SE DAN DEBIDO A LA NIEVE
08/01/2021 0:00;23:01:26;20210108-0055;24RC00;SUPERFICIE;M30;24RC;RAMAL;Otros;Otro;0;0;0;Otros;;0;0;0;RECURSOS NO DISPONIBLES
11/01/2021 0:00;19:50:57;20210111-0007;24XC80;SUPERFICIE;M30;XC;TRONCO;Salida de via;Otro;1;0;0;Otros;FLUIDA;0;0;0;Señalizar salida de via en carril izquierdo y central, a mi llegada se encuentra samur señalizando, se retira del punto con mi llegada, no hay heridos, usuario cambia la rueda y se retira del punto por sus medios .
12/01/2021 0:00;11:21:16;20210112-0012;15XC06;TÚNEL;M30;XC;TRONCO;Salida de via;Otro;1;0;0;Seco y limpio;FLUIDA;1;0;0;ACCIDENTE EN BY-PASS , SEÑALIZAMOS Y PERMANECEMOS JUNTO A POLICIA NACIONAL , QUE ESTA CUSTODIANDO A LOS HERIDOS DESPUES DE PERSECUCION , ATIENDE SAMUR EN EL PUNTO AL CONDUCTOR  Y TRASLADA A LA ACOMPAÑANTE A HOSPITAL DE REFERENCIA, SE PRESENCIA UNIDAD CANINA EN EL PUNTO Y REVISAN EL VEHICULO. EL VEHICULO CHOCA CONTRA ASTIAL IZQUIERDO GENERANDO DAÑOS.
12/01/2021 0:00;22:57:39;20210112-0025;09ZL50;SUPERFICIE;A1;ZL;TRONCO;Salida de via;Otro;1;0;1;Otros;FLUIDA;0;0;0;APOYO A GUARDIA CIVIL EN ACCIDENTE EN VIA DE SERVICIO A1 SENTIDO MORALEJA. ME RETIRO A LA LLEGADA DEL VIGILANTE DE LA A1
13/01/2021 0:00;2:08:02;20210113-0002;00NC70;SUPERFICIE;M30;NC;TRONCO;Salida de via;COLISIÓN FRONTAL;1;0;1;Otros;FLUIDA;0;0;0;SALIDA DE VIA CON COLISION CONTRA NIEVE RECOGIDA, BOMBEROS SACA EL VEHICULO Y SE RETIRA POR SUS MEDIOS. CORTE DE 4 CARRILES DERECHOS Y SALIDA A CHAMARTIN Y PIO XII HASTA LA LIMPIEZA DEL RAMAL POR QUITANIEVES
13/01/2021 0:00;19:58:27;20210113-0030;32RJ00;SUPERFICIE;M30;32RJ;RAMAL;Colision entre vehiculos;COLISIÓN POR ALCANCE;2;0;0;Otros;FLUIDA;0;0;0;COLISIÓN ENTRE 2 VEHÍCULOS POR ALCANCE,A MI LLEGADA SOLO QUEDA 1 QUE NECESITA GRÚA,ES RETIRADO POR SU GRÚA Y EL TAXI RETIRA AL USUARIO
13/01/2021 0:00;20:30:22;20210113-0031;31XC00;SUPERFICIE;M30;XC;TRONCO;Colision entre vehiculos;Otro;0;0;0;Otros;FLUIDA;0;0;0;A MI LLEGADA NO HAY NADA
14/01/2021 0:00;18:00:45;20210114-0033;31XC00;SUPERFICIE;M30;XC;TRONCO;Salida de via;Otro;1;0;0;Otros;FLUIDA;0;0;0;Señalizar accidente carril central, colisiona contra un montículo de nieve, no hay heridos, vehiculo retirado por grúa del usuario
15/01/2021 0:00;8:42:13;20210115-0004;16NC08;TÚNEL;M30;NC;TRONCO;Salida de via;Otro;1;0;0;Otros;FLUIDA;0;0;0;VEHICULO SE SALE DE VIA CONTRA LA NIEVE, SALE POR SUS MEDIOS AL EXTERIOR
15/01/2021 0:00;23:54:06;20210115-0026;99WL30;SUPERFICIE;M30;99WL;TABLERO;Salida de via;Otro;1;1;0;Otros;FLUIDA;0;0;0;Señalizacion de accidente por caida de motorista, sin heridos, policía municipal se presenta en el pk, retirado por grúa seguro usuario.
16/01/2021 0:00;1:18:25;20210116-0003;12RM00;SUPERFICIE;M30;12RM;RAMAL;Colision entre vehiculos;COLISIÓN LATERAL;2;0;0;Otros;FLUIDA;0;0;0;SEÑALIZAR ACCIDENTE EN CARRIL CENTRAL, SIN HERIDOS Y SIN DAÑOS AL PATRIMONIO. LOS VEHICULOS SE RETIRAN POR SUS MEDIOS.
16/01/2021 0:00;3:04:53;20210116-0005;05NC00;SUPERFICIE;M30;NC;TRONCO;Vuelco;COLISIÓN MEDIANA;1;0;0;Otros;FLUIDA;1;0;0;VUELCO EN CALZADA. CORTE DE 2 CARRILES DERECHOS. SIN DAÑOS AL PATRIMONIO Y CON 1 HERIDO TRASLADADO AL HOSPITAL GREGORIO MARAÑON. EL VEHICULO ES RETIRADO POR LA GRUA DE MOVILIDAD.
16/01/2021 0:00;8:22:17;20210116-0009;32RA45;SUPERFICIE;M30;32RA;RAMAL;Salida de via;COLISIÓN FRONTAL;1;0;0;Otros;FLUIDA;0;0;0;SALIDA DE VIA CON COLISION CON MEDIANA Y BARRERA DEL LADO DERECHO DE 32RA. CORTE TOTAL DE 32RA PARA LIMPIEZA DE HIELO Y NIEVE. EL VEHICULO ES RETIRADO POR GRUA DEL SEGURO. DAÑOS AL PATRIMONIO Y SIN HERIDOS
18/01/2021 0:00;1:16:59;20210118-0001;10OL75;SUPERFICIE;M-607;OL;TRONCO;Salida de via;COLISIÓN LATERAL;1;0;0;Otros;FLUIDA;0;0;0;Señalizar accidente con daños en m-607, carril izquierdo, los ocupantes del vehículo lo abandonan y cuando llegamos no hay nadie,guardia civil solicito una grúa
18/01/2021 0:00;7:13:52;20210118-0002;04RH10;SUPERFICIE;A2;04RH;RAMAL;Salida de via;Otro;1;1;0;Otros;FLUIDA;1;0;0;AVISO DE C.CONTROL DE CAIDA DE MOTORISTA, CERRANDO EL RAMAL HASTA RETIRADA DE ESTA POR GRUA MOVILIDAD, CON CONSERVACION QUITAMOS PLACAS DE HIELO Y EL HERIDO ES TRASLADADO A LA RUBER
18/01/2021 0:00;8:03:29;20210118-0004;09TC63;SUPERFICIE;A3;TC;TRONCO;Colision entre vehiculos;COLISIÓN POR ALCANCE;2;0;0;Seco y limpio;FLUIDA;0;0;0;SEÑALIZO ACCIDENTE POR ALCANCE EN CARRIL DERECHO, EL VEHICULO 1 SE RETIRA POR SUS MEDIOS Y EL VEHICULO 2 ES RETIRADO POR LA GRUA DEL SEGURO Y LOS OCUPANTES SE VAN EN TAXI
18/01/2021 0:00;8:41:46;20210118-0007;09TC63;SUPERFICIE;A3;TC;TRONCO;Salida de via;Otro;1;1;0;Seco y limpio;DENSA;0;0;0;SEÑALIZO CAIDA DE MOTORISTA EN CARRIL CENTRAL IZQUIERDO, JUNTO CON POLICIA MOVEMOS LA MOTO A CARRIL DERECHO, ES RETIRADA POR LA GRUA DEL SEGURO
18/01/2021 0:00;15:38:40;20210118-0019;24XC70;SUPERFICIE;M30;XC;TRONCO;Colision entre vehiculos;COLISIÓN LATERAL;2;0;1;Otros;FLUIDA;1;0;0;Accidente con herido en carril derecho. 1 herido leve dado de alta en el lugar. Vehículo 1 se retira por sus medios. Vehículo 2 es retirado por grúa de ollero. Por orden de policía se cortan los 2 carriles derechos.
18/01/2021 0:00;16:14:37;20210118-0020;06NL60;SUPERFICIE;M30;NL;VIA DE SERVICIO;Salida de via;Otro;1;0;1;Seco y limpio;FLUIDA;0;0;0;aviso del Centro de Control de camión averiado a mí llegada , corto carril derecho llega grúa del usuario y retira dicho camión el compañero me comenta que el conductor había chocado contra un puente no sabía cuál, cuándo termina la incidencia reviso la zona y efectivamente hay  daños estructurales en el puente de ventas en el PK 6 +100 corto vía de servicio con Policía Municipal y se activa bomberos para la retirada de los daños
18/01/2021 0:00;22:21:00;20210118-0031;11NL00;SUPERFICIE;M30;NL;VIA DE SERVICIO;Colision entre vehiculos;COLISIÓN LATERAL;2;0;1;Seco y limpio;FLUIDA;0;0;0;Aviso de accidente en carril derecho, al llegar solo se encuentra un vehículo, el segundo vehículo que es un autobús se ha retirado del punto, sin heridos y el vehículo que queda es retirado por su grúa,sin heridos
19/01/2021 0:00;8:03:29;20210119-0014;27RA05;SUPERFICIE;M30;27RA;RAMAL;Salida de via;Otro;1;1;0;Otros;FLUIDA;1;0;0;CAIDA DE MOTORISTA. CORTE TOTAL DE 27RA. RETIRA GRUA DEL SEGURO. EL CONDUCTOR ES TRASLADADO POR SAMUR SIN PRONOSTICO.
19/01/2021 0:00;18:26:13;20210119-0038;18RN29;TÚNEL;M30;18RN;RAMAL;Salida de via;Otro;1;0;0;Seco y limpio;FLUIDA;0;0;0;AVISO DE VEHICULO QUE SE LLEVA UNA BAÑERA Y UN HITO, PERO SE DA A LA FUGA, A SE COLOCA LA BAÑERA AUNQUE ESTA ROTA  Y SE QUITA EL HITO QUE TAMBIEN ESTA ROTO Y NO SE PUEDE REUTILIZAR
21/01/2021 0:00;8:59:25;20210121-0017;22NC30;SUPERFICIE;M30;NC;TRONCO;Colision entre vehiculos;COLISIÓN POR ALCANCE;3;0;0;Mojado;FLUIDA;1;0;0;ACCIDENTE POR ALCANCE 3 VEHICULOS. A MI LLEGADA SOLO QUEDA 1, POLICIA ME DA LOS DATOS DEL RESTO. VEHICULO 1 DE VA POR SUS MEDIOS, VEHICULO 2 LO RETIRA GRUA USUARIO, VEHICULO 3, CON UNA HERIDA QUE LA ATIENDE SAMUR TRASLADADA AL CLINICO PRONOSTICO RESERVADO, ES RETIRADO POR SU GRUA.
21/01/2021 0:00;10:33:14;20210121-0020;28XC80;SUPERFICIE;M30;XC;TRONCO;Colision entre vehiculos;COLISIÓN POR ALCANCE;2;0;1;Mojado;FLUIDA;0;0;0;ACCIDENTE POR ALCANCE, EL VEHICULO 1 SE VA POR SUS MEDIOS Y EL CAMION VEHICULO 2 LO RETIRA GRUA USUARIO. NO HAY HERIDOS NI DAÑOS A PATRIMONIO.
21/01/2021 0:00;16:03:52;20210121-0040;20RM31;SUPERFICIE;M30;20RM;RAMAL;Otros;Otro;0;0;0;Mojado;FLUIDA;0;0;0;AVISA C. CONTROL DE CAIDA DE MOTORISTA, CUANDO LLEGO NO HAY NADA
21/01/2021 0:00;19:04:00;20210121-0056;08NL70;SUPERFICIE;M30;NL;VIA DE SERVICIO;Colision entre vehiculos;COLISIÓN POR ALCANCE;2;0;0;Mojado;DENSA;0;0;0;Señalizar accidente por alcance en carril izquierdo, corto carril izquierdo y total para retirar los vehículos fuera de zona, sin daños a patrimonio ni heridos, los vehículos se retiran por sus propios medios
21/01/2021 0:00;19:39:00;20210121-0058;10RA00;SUPERFICIE;M30;10RA;RAMAL;Colision entre vehiculos;COLISIÓN POR ALCANCE;2;0;0;Mojado;DENSA;0;0;0;Señalizar accidente por alcance en carril derecho, sin daños a patrimonio ni heridos, los vehículos se retiran por sus propios medios
21/01/2021 0:00;20:27:00;20210121-0059;24NC81;SUPERFICIE;M30;NC;TRONCO;Colision entre vehiculos;COLISIÓN LATERAL;2;0;0;Mojado;FLUIDA;0;0;0;COLISIÓN ENTRE VEHÍCULOS. LOS VEHÍCULOS SE RETIRAN POR SUS MEDIOS (SIN HERIDOS). SEÑALIZAMOS A LA ESPERA DE POLICIA PORQUE LOS USUARIOS NO SE PONEN DE ACUERDO
21/01/2021 0:00;23:06:00;20210121-0065;08NL50;SUPERFICIE;M30;NL;VIA DE SERVICIO;Colisión obstáculo;Otro;0;0;0;Mojado;FLUIDA;0;0;0;Colisión de vehículo por obstáculo de nieve en carril izquierdo el vehículo separa en carril derecho en el túnel (08RE) y es atendido por base Valencia (Inc.66). Limpiamos calzada
21/01/2021 0:00;23:25:31;20210121-0066;08RE06;SUPERFICIE;M30;08RE;RAMAL;Colisión obstáculo;COLISIÓN FRONTAL;1;0;0;Mojado;FLUIDA;0;0;0;ACCIDENTE DE VEHICULO EN SUPERFICIE EN CARRIL IZQ CONTRA BLOQUE DE NIEVE A LA ENTRADA DEL 08RE (INC:,65) EL VEHICULO SE DETIENE DENTRO DEL RAMAL A LA ALTURA DEL 08RE06, POLICIA Y GRUA DEL USUARIO EN EL PUNTO, LO CARGA LA GRUA DEL USUARIO Y LO SACA AL EXTERIOR.
22/01/2021 0:00;7:46:39;20210122-0013;17NC45;TÚNEL;M30;NC;TRONCO;Colision entre vehiculos;COLISIÓN POR ALCANCE;2;0;0;Seco y limpio;FLUIDA;0;0;0;ANULADA. ALCANCE ENTRE DOS VEHICULOS EN CARRIL IZQUIERDO. ANTES DE NUESTRA LLEGADA EL CENTRO DE CONTROL ANULA LA INCIDENCIA YA QUE LOS VEHICULOS REANUDAN LA MARCHA.
22/01/2021 0:00;14:31:00;20210122-0034;06XL00;SUPERFICIE;M30;XL;VIA DE SERVICIO;Colision entre vehiculos;COLISIÓN POR ALCANCE;3;1;0;Mojado;CONGESTIONADA;1;0;0;Señalizar accidente por alcance en carril izquierdo, con motorista implicado, el herido es trasladado al hospital del Ramón y Cajal cómo leve, el vehículo número 1 y número 3 se retiran por sus propios medios y la motocicleta la retira grúa de movilidad
22/01/2021 0:00;15:00:00;20210122-0038;09CC24;SUPERFICIE;A3;09CC;RAMAL;Colision entre vehiculos;COLISIÓN LATERAL;5;0;0;Mojado;DENSA;2;0;0;ACCIDENTE ENTRE VEHÍCULOS POR ALCANCE Y LATERAL, CON HERIDOS. VEHÍCULO 3: HERIDO CON PRONOSTICO RESERVADO TRASLADADO AL CLINICA RUBER, VEHÍCULO 4: HERIDO LEVE TRASLADO ALGREGORIO MARAÑON. EL VEHÍCULO 4 ES RETIRADO POR LA GRÚA DE MOVILIDAD, LOS OTROS 4 VEHÍCULOS SON RETIRADOS POR LAS GRUAS DE LOS  USUARIOS. SE CORTA EL TRANSFER 09CC00 TOTAL Y 2 CARRILES IZQUIERDOS DEL 08RN27
22/01/2021 0:00;15:22:18;20210122-0039;15XL76;TÚNEL;M30;XL;VIA DE SERVICIO;Colision entre vehiculos;COLISIÓN POR ALCANCE;2;0;0;Seco y limpio;DENSA;0;0;0;ALCANCE ENTRE VEHICULOS , SE INTERCAMBIAN DATOS Y SALEN POR SUS MEDIOS A LA LLEGADA DE POLICIA
22/01/2021 0:00;23:11:14;20210122-0055;32RA00;SUPERFICIE;M30;32RA;RAMAL;Otros;Otro;0;0;0;(En blanco);;0;0;0;INCIDENCIA ASOCIADA A LA 56
22/01/2021 0:00;23:11:53;20210122-0056;32RA44;SUPERFICIE;M30;32RA;RAMAL;Colision entre vehiculos;COLISIÓN LATERAL;2;0;0;Seco y limpio;FLUIDA;2;0;0;SEÑALIZAR ACCIDENTE, EL VEHICULO (GOLF) AZUL SE CHOCA CONTRA LA BARRERA Y SALE DESPEDIDO HASTA QUEDARSE PARADO ENTRE LOS 2 CARRILES. LOS USUARIOS DEL OTRO VEHÍCULO AFECTADO LOS ATIENDE SAMUR Y LOS DA DE ALTA EN EL PUNTO, ESTABAN BIEN. LA GRUA DEL COCHE ACCIDENTADO CARGA EL VEHICULO Y  EL VEHICULO 2 CONTINUA POR SUS MEDIOS Y FINALIZAMOS.
23/01/2021 0:00;4:18:32;20210123-0008;18RH06;TÚNEL;A5;18RH;RAMAL;Colision entre vehiculos;COLISIÓN POR ALCANCE;2;0;0;Seco y limpio;FLUIDA;1;0;0;ACCIDENTE VEHICULOS: SEÑALIZAMOS CON BUL C-15 , SE TRATA DE UN VEHICULO QUE COLISIONA CON BORDILLO,LOS OCUPANTES NO SE ENCUENTRAN EN EL PUNTO, POSTERIORMENTE OTRO VEHICULO COLISIONA CON EL QUE YA SE ENCUENTRA PARADO, AL CONDUCTOR LO ATIENDE SAMUR Y LE DAN DE ALTA EN EL PUNTO, EL PRIMER VEHICULO LO SACA LA GRUA DE MOVILIDAD, EL SEGUNDO SALE POR SUS MEDIOS.
23/01/2021 0:00;16:20:00;20210123-0029;03FL00;TÚNEL;A5;FL;TRONCO;Salida de via;Otro;1;0;0;Mojado;DENSA;0;1;0;ACCIDENTE PROVOCADO POR SALIDA DE VIA CONTRA PARED DEL HASTIAL DCHO QUEDANDO EL VEHÍCULO BLOQUEADO EN DIRECCION CONTRARIA, CON FUGA DE ACEITES.CARGAMOS EL VEHÍCULO EN C-C21,LIMPIAMOS Y REACONDICIONAMOS CALZADA Y TRASLADAMOS EL COCHE POR INDICACCIÓN DE POLICÍA AL DEPOSITO SITUADO EN LA CARRETERA DE CASTILLA.el USUARIO ES TRASLADADO AL HOSPITAL CLINICO CON PRONOSTICO GRAVE. Nº OT generada por proyecto: 271921
24/01/2021 0:00;20:42:03;20210124-0030;15RU00;TÚNEL;M30;15RU;RAMAL;Colision entre vehiculos;COLISIÓN POR ALCANCE;2;0;0;Seco y limpio;DENSA;0;0;0;AVISO POR ALCANCE ENTRE VEHICULOS , A NUESTRA LLEGADA CORTAMOS RAMAL Y ESPERAMOS LLEGADA DE POLICIA, RETIRA SU GRUA VH-1 DEL PUNTO. EL OTRO VEHÍCULO SALE POR SUS MEDIOS. SIN HERIDOS NI DAÑOS
